,F10_T1,F1_T1,F2_T1,F3_T1,F4_T1,F5_T1,F6_T1,F7_T1,F8_T1,F9_T1,F10_T2,F1_T2,F2_T2,F3_T2,F4_T2,F5_T2,F6_T2,F7_T2,F8_T2,F9_T2,F10_T3,F1_T3,F2_T3,F3_T3,F4_T3,F5_T3,F6_T3,F8_T3,F9_T3,S10_T1,S1_T1,S2_T1,S3_T1,S4_T1,S5_T1,S6_T1,S7_T1,S8_T1,S9_T1,S10_T2,S1_T2,S2_T2,S3_T2,S4_T2,S5_T2,S6_T2,S7_T2,S8_T2,S9_T2,S10_T3,S1_T3,S3_T3,S4_T3,S5_T3,S6_T3,S7_T3,S8_T3,S9_T3,Spring_Female_1,Spring_Female_2,Spring_Female_3,Spring_Female_4,Fall_Female_2,Fall_Female_3,Fall_Female_4
F2_T3,0.004724368,0.004906396,0.003915821,0.015086188,0.015936451,0.004622605,0.004858597,0.004149246,0.007478397,0.00554273,0.004505908,0.004248888,0.0019473,0.003517249,0.002525912,0.004071767,0.003609315,0.005500273,0.007206353,0.004961706,0.003256268,0.005333817,NA,0.003959948,0.002501497,0.003295695,0.003728236,0.006134714,0.005640982,0.016169857,0.020618861,0.012471645,0.020305111,0.018528804,0.046827125,0.026269833,0.020420089,0.020795365,0.018083822,0.01522202,0.015366926,0.013901224,0.009377557,0.019060034,0.012684843,0.024422839,0.017626435,0.020751824,0.020358906,0.018774549,0.013052836,0.015406136,0.006774192,0.026220486,0.027271674,0.018856222,0.02372784,0.022808604,0.031508325,0.036599076,0.033159768,0.034841258,0.009989307,0.009788374,0.010002666
F3_T3,0.001387064,0.007050429,0.002321211,0.011991003,0.013357038,0.001761755,0.002859522,0.001438949,0.004145017,0.003921488,0.001482625,0.007176579,0.001902854,0.000895612,0.002693909,0.002090847,0.001590651,0.002412931,0.003974946,0.003409895,0.001502934,0.007584827,0.003959948,NA,0.003492071,0.003041114,0.002294988,0.003402751,0.00388481,0.022917771,0.028254355,0.018448405,0.027404898,0.023678063,0.053193278,0.034766875,0.028483518,0.028229819,0.025956831,0.022158798,0.021093163,0.020069216,0.009348781,0.026587829,0.017660513,0.033438234,0.025707608,0.028587212,0.027695421,0.025886149,0.018206227,0.020823479,0.008485686,0.034895986,0.036589294,0.026507547,0.032024133,0.030768539,0.041352796,0.046995288,0.043182676,0.044866777,0.005911756,0.005996765,0.005697082
F4_T3,0.003637672,0.002347966,0.003295221,0.013191704,0.013826865,0.003673714,0.00444819,0.003314928,0.005855446,0.006430274,0.003622211,0.002277707,0.001812911,0.002630436,0.000458653,0.003392017,0.0037522,0.004439412,0.006519741,0.00628778,0.002231078,0.00305021,0.002501497,0.003492071,NA,0.003180771,0.003852719,0.005442427,0.006376568,0.013139986,0.016596021,0.009581075,0.016786079,0.015464205,0.043881761,0.022553631,0.017254917,0.018359734,0.014903685,0.012080858,0.011591481,0.010492836,0.007813691,0.01502277,0.009497502,0.020816935,0.014834696,0.018503924,0.016315267,0.015515394,0.009494078,0.011404202,0.005955693,0.021707337,0.023877449,0.015887012,0.02047628,0.019135065,0.028178194,0.033574353,0.029979488,0.031754689,0.009116223,0.009378602,0.008679463
F5_T3,0.002941789,0.00655528,0.004085645,0.011656328,0.014060337,0.00146525,0.00373018,0.002487545,0.004403908,0.005549647,0.002264659,0.006899064,0.002401923,0.002555388,0.003106976,0.001145308,0.003229215,0.003404023,0.004817209,0.005420331,0.002111309,0.007118367,0.003295695,0.003041114,0.003180771,NA,0.003578874,0.004166941,0.006098407,0.020673305,0.026056139,0.017412804,0.02548111,0.022683384,0.051958578,0.032085672,0.026291357,0.02656446,0.023836394,0.020189228,0.019440599,0.018199442,0.009591921,0.024349327,0.016129569,0.030716959,0.023506598,0.026595231,0.025703672,0.023763965,0.015883816,0.019437636,0.007952486,0.03184259,0.033400477,0.024258734,0.029655228,0.028466542,0.038787363,0.044581021,0.040486697,0.042112417,0.007574055,0.00834783,0.006986165
F6_T3,0.003062216,0.007776911,0.002745693,0.012965887,0.016089316,0.002613408,0.002102559,0.001987516,0.004461794,0.003905083,0.002066947,0.008187648,0.001919462,0.001771352,0.003877944,0.002758984,0.000733185,0.002989331,0.004786663,0.003015064,0.001813768,0.008661706,0.003728236,0.002294988,0.003852719,0.003578874,NA,0.004320657,0.003800883,0.024314279,0.029770463,0.019626088,0.028955981,0.025042462,0.05461935,0.036128668,0.029925432,0.029693153,0.027594772,0.023720354,0.022254527,0.021228467,0.009604216,0.028086674,0.018804515,0.034894538,0.027056573,0.030109842,0.029119505,0.027450345,0.019035073,0.021925221,0.009902739,0.036689608,0.038265405,0.028076439,0.033728094,0.032525598,0.043020433,0.048776331,0.04502608,0.04672933,0.006895911,0.006534599,0.006723196
F8_T3,0.003105919,0.009168312,0.004814134,0.012640728,0.015429988,0.002826069,0.004352855,0.002374004,0.003425222,0.00620372,0.003181975,0.010455379,0.00399056,0.002808924,0.005001847,0.002732688,0.00339897,0.003752339,0.001472126,0.005653599,0.00314875,0.009961825,0.006134714,0.003402751,0.005442427,0.004166941,0.004320657,NA,0.006084546,0.026354035,0.031981424,0.021909181,0.031392086,0.027024884,0.056276375,0.038391076,0.032049271,0.031671879,0.029619822,0.025777183,0.02402138,0.022999803,0.010807323,0.030204907,0.020716174,0.036872775,0.029038638,0.032217447,0.031259861,0.028946535,0.020279524,0.023970264,0.0112327,0.038737104,0.040073941,0.029558944,0.035863168,0.034199202,0.045456057,0.051506428,0.047552327,0.049334633,0.007959739,0.007285606,0.007321613
F9_T3,0.003904257,0.010090053,0.004590825,0.015666812,0.016327904,0.004933762,0.005267835,0.0038425,0.007750946,0.001965578,0.004310934,0.010542826,0.003780024,0.003641525,0.005840661,0.005661224,0.003562983,0.005242028,0.006957896,0.002015369,0.004167428,0.011192983,0.005640982,0.00388481,0.006376568,0.006098407,0.003800883,0.006084546,NA,0.027153345,0.032807007,0.022678252,0.03167089,0.027862667,0.057709945,0.039201145,0.032954967,0.032515656,0.030624086,0.026599916,0.025071213,0.024281907,0.011613857,0.031256439,0.021565665,0.038288563,0.030028395,0.033186028,0.032457921,0.03060759,0.021870294,0.025104702,0.011720684,0.03991292,0.041422363,0.03104593,0.03688017,0.036034176,0.046281193,0.052259767,0.048289981,0.049946936,0.008202041,0.008097684,0.008392745
S10_T1,0.02390574,0.008132901,0.02158391,0.034062608,0.02886239,0.024726595,0.02473777,0.024564333,0.028211778,0.027245023,0.024238568,0.006445918,0.018593779,0.022625664,0.013589363,0.023191292,0.023981196,0.026909877,0.028160937,0.027340186,0.020474274,0.010152612,0.016169857,0.022917771,0.013139986,0.020673305,0.024314279,0.026354035,0.027153345,NA,0.004980231,0.005344561,0.005307231,0.008964864,0.034473729,0.00420001,0.003808539,0.008683391,0.003172848,0.001627474,0.005915066,0.004970225,0.021154321,0.005009579,0.005455053,0.003973068,0.002080461,0.005159113,0.004945205,0.00395538,0.007008891,0.007983859,0.011012555,0.008875647,0.004975484,0.004182643,0.006611756,0.006069858,0.009958331,0.013534712,0.010545643,0.010609794,0.032179871,0.032567933,0.031764155
S1_T1,0.029352493,0.011621808,0.02672739,0.039563638,0.032689488,0.030218341,0.03027941,0.030100393,0.03361473,0.033024636,0.02964828,0.009037314,0.02364903,0.028027156,0.016343513,0.028145046,0.029365846,0.032501329,0.033752319,0.033025373,0.025462761,0.011934876,0.020618861,0.028254355,0.016596021,0.026056139,0.029770463,0.031981424,0.032807007,0.004980231,NA,0.004620639,0.005143117,0.012553202,0.032087548,0.008177329,0.003986371,0.009285935,0.002777444,0.00228663,0.00390519,0.006904297,0.025911722,0.003822341,0.005029656,0.004277261,0.002812328,0.007992754,0.003643847,0.007111034,0.006410826,0.004894885,0.017284227,0.007176876,0.005136135,0.004460676,0.00884907,0.007459107,0.010985014,0.014834374,0.01255232,0.014242309,0.03794566,0.038374599,0.037361895
S2_T1,0.019461323,0.005867277,0.017575371,0.029672003,0.025605388,0.020035996,0.020339702,0.019929644,0.023582778,0.022542109,0.019785151,0.003937376,0.014502414,0.018252132,0.009761358,0.018679499,0.019443808,0.022327732,0.023623684,0.0227531,0.016260098,0.005998172,0.012471645,0.018448405,0.009581075,0.017412804,0.019626088,0.021909181,0.022678252,0.005344561,0.004620639,NA,0.006196273,0.009943491,0.033729575,0.008808312,0.004763743,0.008556973,0.003769297,0.003173637,0.003862247,0.00258797,0.017790983,0.004121048,0.003932166,0.00623571,0.00355888,0.006715292,0.003470172,0.00532384,0.004534629,0.004618357,0.010345858,0.008859499,0.00933381,0.004750945,0.007457515,0.006934329,0.011866164,0.013744451,0.012440537,0.013691814,0.027701424,0.027922867,0.027347991
