Feature ID,kingdom,phylum,class,order,family,genus,species
dad2585cde6bd0e19deb8c5f37be8fae,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella, s__
a9e1ea1f5272063890e2294d92e5e1c0,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella, s__
882374eeeb52d433a1f517f4fff1e146,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella_7, s__
e22f94cfc92f687808157978adb53d4d,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotellaceae_YAB2003_group, s__
5205ecf1fb1fd7396a7be35db293cdae,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella_7, s__
f46244fc6e4f7641b44324411a023a3e,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Alloprevotella, s__
0d50a8693aab5837d13da03510b46f31,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Alloprevotella, s__
587205871eedf245a7c96e42721e2dc6,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella_7, s__
4b320b5cf86bf4199eb2b26640db8ef8,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella_7, s__
b11dfffd70da756e1c8a7a81849159a8,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella_7, s__
65c4c1d3ee7dc4172dbdf425c6901d85,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella, s__
5232cec426ea9167a28a28d37ef814c1,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella, s__
2472216365bb25c8a653a5c252b9a80c,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella, s__
