	10N1	10N2	10N3	12N1	12N2	12N3	17N1	19N1	19N2	19N3	20N1	20N2	20N3	21N1	21N2	21N3	22N1	22N2	22N3	29N1	29N2	31N1	31N2	31N3	32N1	32N2	32N3	7N1	7N2	7N3	8N1	8N2	8N3	9N1	9N3
21N3	0.5473913982039644	0.5504905890301847	0.38984218627711376	0.5911877591527365	0.493787583510556	0.5035295889157396	0.40126913642261575	0.40496644499454126	0.42639405951931547	0.6038255015524896	0.4403505603743451	0.5093697162841142	0.614778553827595	0.6577749181386773	0.5612961664042946	0.0	0.4049420535009867	0.5238599204123698	0.6514680524083316	0.5485854993090025	0.48186637461072857	0.5990498350912379	0.49509066092493426	0.6147976748417903	0.6719390977176972	0.5775404654198818	0.6077456512593605	0.6409404880565527	0.5966619118035725	0.6680104329007253	0.5327308930289055	0.5260354877295167	0.6382383978042767	0.5799411192864771	0.46364184417800536
22N1	0.463582852492571	0.5358245935727457	0.42109093554198207	0.5061609609087508	0.39144469978006746	0.28161632451723034	0.2381896942806057	0.4181985217052852	0.25708297496641963	0.5189123022230218	0.3092304092313285	0.5185058081324605	0.5415097973659151	0.6138434480741456	0.6249516374441157	0.4049420535009867	0.0	0.5023944708663215	0.6857330263792237	0.38315252050077264	0.36764519964726783	0.5183528629005357	0.38017537370017496	0.43781391861906527	0.620525354098171	0.6162328970779283	0.5710106970695289	0.5312906687976789	0.6586608944015108	0.5912868091861259	0.3820569521122953	0.5908817488516017	0.4553950583198654	0.5049976309245222	0.33347602759054906
22N2	0.45048969833789143	0.4541591692915915	0.5361247958942338	0.6659470220785411	0.6048601851977926	0.6031258475426353	0.5296923816869805	0.5431393534646165	0.5704007891319853	0.5410655186253017	0.5620814705563456	0.6662605789532153	0.5582915433546861	0.6217259948830914	0.5189766961323912	0.5238599204123698	0.5023944708663215	0.0	0.45353511919582284	0.611159045750571	0.578892393758372	0.4958528025127741	0.5929370760091833	0.6644169266072597	0.6376922969478133	0.5898234941935007	0.5226319922253183	0.542659491842446	0.45547986636012155	0.7228314789759062	0.617178087420359	0.498672237364712	0.695358359544824	0.4838222953325114	0.5719526601415623
22N3	0.5558132307293552	0.552806485913443	0.6474722324192396	0.7343605698519229	0.6922527668348177	0.6772488110932714	0.6542670588161109	0.6088976711749264	0.6798353664032482	0.6059393753662118	0.6508676011320997	0.7125510490138658	0.5766337504903445	0.6533241586444248	0.5319853813774614	0.6514680524083316	0.6857330263792237	0.45353511919582284	0.0	0.6931043462383957	0.68028921954102	0.5732166865400863	0.6720166086972733	0.6916798990759108	0.6514753341043822	0.6323276351259345	0.5457680663204164	0.6045084827249223	0.4166785835533078	0.7604147731996365	0.6625370528732187	0.5345056650604117	0.733180547443918	0.5642601665685671	0.6550062229856545
29N1	0.4345467436997238	0.546548711075979	0.4233614733364045	0.4129098601762607	0.4266035551052101	0.4383822242943588	0.3832425787873937	0.4518512829502762	0.40397762872202364	0.49099802124587466	0.3817414643198991	0.607660726911857	0.5761272823544629	0.5919170742757147	0.5653860154730882	0.5485854993090025	0.38315252050077264	0.611159045750571	0.6931043462383957	0.0	0.29421923223083346	0.5411570345080696	0.39159048059916385	0.5084715613365333	0.6254614864647289	0.5980848006155436	0.5724373755996011	0.48764571224734043	0.6987636414504445	0.6798477388955348	0.41041070155719933	0.5873463757336812	0.5136147683245897	0.47206984309537486	0.38866382173330466
29N2	0.39538107786016213	0.5029473802824171	0.3875538605163532	0.2976701710924238	0.3416282126025885	0.42134658097668587	0.2625617180951534	0.3672188809039264	0.4262979064864016	0.557462602559918	0.2934419673972341	0.5382399530891996	0.5938825471306599	0.6343122157047325	0.5572806556622896	0.48186637461072857	0.36764519964726783	0.578892393758372	0.68028921954102	0.29421923223083346	0.0	0.5346188225239269	0.3195226071771867	0.44010866274560256	0.6473652643374297	0.6143892630658906	0.5320079609926042	0.542073401283045	0.681500143789681	0.6512557469192771	0.3878722089446252	0.6176132179460532	0.5141006275162339	0.4555784124161158	0.24657918528627257
31N1	0.31667936052850476	0.3910222880566011	0.5246608054874782	0.6381895639021713	0.5553610918914308	0.5108090119264705	0.5104151450662031	0.5074689900325611	0.5155998996454312	0.4445419272634371	0.4615816347332263	0.6272041606248635	0.4186284541993188	0.5716773121691772	0.4698575870585004	0.5990498350912379	0.5183528629005357	0.4958528025127741	0.5732166865400863	0.5411570345080696	0.5346188225239269	0.0	0.47957514196489726	0.6068011107286176	0.5951729952789859	0.5495470497289887	0.36353530731378286	0.42317974285466653	0.5519059148528445	0.6885470773750196	0.5077173682940824	0.4784780754427329	0.6140918860715837	0.34543421257229423	0.45917119406272533
31N2	0.4327443308243647	0.53358685399443	0.3166594521364591	0.43341840758072003	0.33116281395919517	0.3195995302133124	0.3060025769149911	0.267158386444033	0.3769043757604452	0.5345880322432149	0.25071334340757045	0.46647128115645226	0.573923172391458	0.6314679394825905	0.5560744735561178	0.49509066092493426	0.38017537370017496	0.5929370760091833	0.6720166086972733	0.39159048059916385	0.3195226071771867	0.47957514196489726	0.0	0.4876130062232024	0.6614240565449284	0.6362157067432912	0.45377318883519974	0.45043686026482016	0.6650423453045085	0.6237389340382585	0.38471676312423275	0.5966405311032836	0.493296686994706	0.489861480621945	0.21608103794787856
31N3	0.6050120207382099	0.6519106623961106	0.5733365753297862	0.596447733406825	0.5814895205335201	0.4584104216385375	0.5024785177719602	0.5415370218804838	0.4796464087465442	0.5952034774298864	0.49234593555107814	0.6499005622744325	0.5970860558397253	0.6728141513336581	0.6633539173423632	0.6147976748417903	0.43781391861906527	0.6644169266072597	0.6916798990759108	0.5084715613365333	0.44010866274560256	0.6068011107286176	0.4876130062232024	0.0	0.6707555764515286	0.6647887937119284	0.6404808544576792	0.5856847051372085	0.6595077877404762	0.7130061504434524	0.47925285180129035	0.6541690314232437	0.5555758099526494	0.6316735169346108	0.46120686097824454
32N1	0.596293651913072	0.5954006063428459	0.6891676289021959	0.708907628607807	0.7106401230315254	0.6133867091285145	0.6899202941732296	0.6896963966822923	0.5925847025165525	0.5704190777122328	0.6745729969575427	0.730796973124783	0.5663410979014241	0.48415672718960606	0.618168045431888	0.6719390977176972	0.620525354098171	0.6376922969478133	0.6514753341043822	0.6254614864647289	0.6473652643374297	0.5951729952789859	0.6614240565449284	0.6707555764515286	0.0	0.6038145908588168	0.6090488438972146	0.5792358541525952	0.6840645598416525	0.6988275348892049	0.6586077849485289	0.6034492462553286	0.7480972078573415	0.5994182518724308	0.6790184068964286
32N2	0.48172572027927923	0.5155444168270654	0.563968436786742	0.666178605685304	0.6250072489796641	0.6017173837438524	0.6367323226484015	0.5747580058601499	0.6345816566817639	0.5311463157641725	0.6610688022902407	0.6880471003756389	0.4880727338678171	0.5730552167067724	0.5411298267467638	0.5775404654198818	0.6162328970779283	0.5898234941935007	0.6323276351259345	0.5980848006155436	0.6143892630658906	0.5495470497289887	0.6362157067432912	0.6647887937119284	0.6038145908588168	0.0	0.5165560861381374	0.5173423129457903	0.5819372386666017	0.7937506288450054	0.5981455605008458	0.5094601243577411	0.7152967012333036	0.4700505414630762	0.6248807890631896
