# Constructed from biom file
#OTU ID	E2_T3_y2014_seqrunA	E5_T3_y2014_seqrunA	E7_T3_y2014_seqrunA	E9_T3_y2014_seqrunA	F10_T3_y2014_seqrunA	F2_T3_y2014_seqrunA	F3_T3_y2014_seqrunA	F4_T3_y2014_seqrunA
f8b9de20ea922bea3ee6584c8fc0c5cf	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0
d26b979f66762468c9492f027644e453	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
95e20d9980cea1cf3f00bad56bc392b0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
b1ce8473a28d818d02b6d273747ab90a	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4f8c6348a617183614079986ca8b83fc	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
53fbaa31bd3ace5bb6f48e6d93217d39	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0
2b3fac5644e3ea3938714cdf5c244c16	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
4f8c53cb812e9c6204c71d803c4f63bf	4.0	1.0	26.0	41.0	3.0	2.0	3.0	0.0
5ffd9287197cdd552a917837b072a1d6	0.0	0.0	4.0	2.0	0.0	0.0	2.0	0.0
f0ee652dac76c3046deb3ea6070dc592	101.0	180.0	35.0	16.0	58.0	64.0	34.0	19.0
cfdf2ee915361e0bb6755cca1d75bfe7	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0
34e8294334b81aec9a78e73894284692	0.0	0.0	0.0	0.0	12.0	6.0	1.0	8.0
35400360e85ebbf83196f959e22b1a07	21.0	18.0	3.0	2.0	8.0	7.0	7.0	6.0
08c66b06a53870666a19d451679259fc	3.0	6.0	0.0	6.0	0.0	3.0	0.0	0.0
f7da64e887f1e03aa5faf2f2f664038d	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0
af2e9d63e378ca4ac3533996938fcb0b	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
3d9f0d6f4608250723dc3a1474ff91f5	0.0	0.0	0.0	5.0	0.0	2.0	0.0	0.0
866989308cedb8caea176f64a70961e4	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0
e9522d18373d32516b9033d881a94ba3	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
94c50ed71e98febc2870efa89163dac5	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0
c7380dc22e10769c304112d8e6612eba	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
