	b1_t3_y2017_seqrunB	b2_t3_y2017_seqrunB	b3_t3_y2017_seqrunB	b4_t3_y2017_seqrunB	e11_t3_y2017_seqrunB	e13_t3_y2017_seqrunB	e14_t3_y2017_seqrunB	e16_t3_y2017_seqrunB	e17_t3_y2017_seqrunB	e19_t3_y2017_seqrunB	e23_t3_y2017_seqrunB	e30_t3_y2017_seqrunB	f15_t3_y2017_seqrunB	f20_t3_y2017_seqrunB	f21_t3_y2017_seqrunB	f25_t3_y2017_seqrunB	f28_t3_y2017_seqrunB	f3_t3_y2017_seqrunB	f31_t3_y2017_seqrunB	f4_t3_y2017_seqrunB
e23_t3_y2017_seqrunB	0.385911613702774	0.361180454492569	0.3977780640125275	0.2328074425458908	0.4381869435310364	0.3793241083621979	0.4245125651359558	0.5287526845932007	0.4419631958007812	0.5016801953315735	0	0.4430241584777832	0.6941410303115845	0.7249009609222412	0.7249009609222412	0.7457569241523743	0.7249009609222412	0.6936913728713989	0.7365989089012146	0.669356644153595
e30_t3_y2017_seqrunB	0.5657332539558411	0.6187524795532227	0.540074348449707	0.5328208804130554	0.3363215625286102	0.3690015077590942	0.3089858293533325	0.3585873544216156	0.3518370985984802	0.3665848076343536	0.4430241584777832	0	0.804928183555603	0.8241779804229736	0.8241779804229736	0.8326776623725891	0.8241779804229736	0.8047504425048828	0.828883945941925	0.8085911870002747
f15_t3_y2017_seqrunB	0.6082149147987366	0.4633013308048248	0.5983413457870483	0.5671594738960266	0.7182725667953491	0.7860956788063049	0.7987563610076904	0.7689767479896545	0.8087297081947327	0.8301770687103271	0.6941410303115845	0.804928183555603	0	0.07992088794708252	0.07992088794708252	0.2264922857284546	0.07992088794708252	0.003400720655918121	0.1655275523662567	0.07285907864570618
f20_t3_y2017_seqrunB	0.6331967115402222	0.4965044260025024	0.623900830745697	0.6004976630210876	0.7394903302192688	0.8071699738502502	0.8191770911216736	0.7860847115516663	0.8281547427177429	0.8474554419517517	0.7249009609222412	0.8241779804229736	0.07992088794708252	0	0	0.1707774698734283	0	0.07678128033876419	0.1003139689564705	0.1413295567035675
f21_t3_y2017_seqrunB	0.6331967115402222	0.4965044260025024	0.623900830745697	0.6004976630210876	0.7394903302192688	0.8071699738502502	0.8191770911216736	0.7860847115516663	0.8281547427177429	0.8474554419517517	0.7249009609222412	0.8241779804229736	0.07992088794708252	0	0	0.1707774698734283	0	0.07678128033876419	0.1003139689564705	0.1413295567035675
f25_t3_y2017_seqrunB	0.6525446772575378	0.5346667170524597	0.6443423628807068	0.6315150260925293	0.7534112334251404	0.8173461556434631	0.8284280896186829	0.7953551411628723	0.836531400680542	0.8540924191474915	0.7457569241523743	0.8326776623725891	0.2264922857284546	0.1707774698734283	0.1707774698734283	0	0.1707774698734283	0.224274531006813	0.07832010090351105	0.2703606188297272
f28_t3_y2017_seqrunB	0.6331967115402222	0.4965044260025024	0.623900830745697	0.6004976630210876	0.7394903302192688	0.8071699738502502	0.8191770911216736	0.7860847115516663	0.8281547427177429	0.8474554419517517	0.7249009609222412	0.8241779804229736	0.07992088794708252	0	0	0.1707774698734283	0	0.07678128033876419	0.1003139689564705	0.1413295567035675
f3_t3_y2017_seqrunB	0.6076737642288208	0.4622851312160492	0.5977725386619568	0.5665056109428406	0.7179874181747437	0.7858819961547852	0.7985617518424988	0.7687891125679016	0.80855393409729	0.8300386071205139	0.6936913728713989	0.8047504425048828	0.003400720655918121	0.07678128033876419	0.07678128033876419	0.224274531006813	0.07678128033876419	0	0.1629458367824554	0.06991656869649887
f31_t3_y2017_seqrunB	0.64792799949646	0.5238516926765442	0.6393725275993347	0.6179101467132568	0.7472163438796997	0.8128159046173096	0.8243058919906616	0.7912054061889648	0.8327934741973877	0.8511217832565308	0.7365989089012146	0.828883945941925	0.1655275523662567	0.1003139689564705	0.1003139689564705	0.07832010090351105	0.1003139689564705	0.1629458367824554	0	0.2163562327623367
f4_t3_y2017_seqrunB	0.5852844715118408	0.4327870905399323	0.6099420785903931	0.5422881245613098	0.7241384387016296	0.768937885761261	0.8027624487876892	0.7550554275512695	0.7928774356842041	0.8330387473106384	0.669356644153595	0.8085911870002747	0.07285907864570618	0.1413295567035675	0.1413295567035675	0.2703606188297272	0.1413295567035675	0.06991656869649887	0.2163562327623367	0
