	F1_T1_y2016_seqrunA	F10_T1_y2016_seqrunA	F2_T1_y2016_seqrunA	F3_T1_y2016_seqrunA	F4_T1_y2016_seqrunA	F5_T1_y2016_seqrunA	F6_T1_y2016_seqrunA	F7_T1_y2016_seqrunA	F8_T1_y2016_seqrunA	F9_T1_y2016_seqrunA	S1_T1_y2016_seqrunA	S10_T1_y2016_seqrunA	S2_T1_y2016_seqrunA	S3_T1_y2016_seqrunA	S4_T1_y2016_seqrunA	S5_T1_y2016_seqrunA	S6_T1_y2016_seqrunA	S7_T1_y2016_seqrunA	S8_T1_y2016_seqrunA	S9_T1_y2016_seqrunA
S1_T1_y2016_seqrunA	0.1103810146450996	0.1841403543949127	0.30007204413414	0.08688297867774963	0.2585383653640747	0.2654690444469452	0.1487253606319427	0.1488462090492249	0.2625221908092499	0.1977362930774689	0	0.1301486790180206	0.1111636459827423	0.1871936023235321	0.1640540957450867	0.1200524047017097	0.2170762121677399	0.1240045428276062	0.1214207485318184	0.1129279807209969
S10_T1_y2016_seqrunA	0.1989626437425613	0.2751654982566833	0.4007840752601624	0.1698771715164185	0.2353577464818954	0.271470308303833	0.2069609016180038	0.1518543362617493	0.3561941385269165	0.2185695022344589	0.1301486790180206	0	0.2165305614471436	0.2423319965600967	0.2124626934528351	0.1302116066217422	0.1939656287431717	0.09111588448286057	0.05772911384701729	0.06338197737932205
S2_T1_y2016_seqrunA	0.09012623876333237	0.1998724937438965	0.2429740875959396	0.133536085486412	0.3188914060592651	0.2965763509273529	0.2036064714193344	0.1832559853792191	0.2251717299222946	0.2164532393217087	0.1111636459827423	0.2165305614471436	0	0.2156404852867126	0.226441502571106	0.1387083977460861	0.2495916783809662	0.2232162654399872	0.209842324256897	0.2134312689304352
S3_T1_y2016_seqrunA	0.1994373947381973	0.1105892211198807	0.2546090483665466	0.2206182777881622	0.1814321130514145	0.2092173844575882	0.1514543741941452	0.3027311861515045	0.255433201789856	0.106885589659214	0.1871936023235321	0.2423319965600967	0.2156404852867126	0	0.1578596085309982	0.263878345489502	0.3711185455322266	0.232095792889595	0.2469867765903473	0.2608899474143982
S4_T1_y2016_seqrunA	0.2145060300827026	0.1927957087755203	0.3642967343330383	0.2259078323841095	0.1498283892869949	0.2939360439777374	0.03772402927279472	0.2662835717201233	0.3331477642059326	0.1992696970701218	0.1640540957450867	0.2124626934528351	0.226441502571106	0.1578596085309982	0	0.2601316273212433	0.3410473167896271	0.1401087045669556	0.2082011997699738	0.1744069904088974
S5_T1_y2016_seqrunA	0.1408835649490356	0.2732748687267303	0.3278282284736633	0.1452438235282898	0.3197762668132782	0.3030390441417694	0.2477804273366928	0.08380940556526184	0.2723698019981384	0.2482813447713852	0.1200524047017097	0.1302116066217422	0.1387083977460861	0.263878345489502	0.2601316273212433	0	0.1250906735658646	0.1603120565414429	0.1331562697887421	0.1249344423413277
S6_T1_y2016_seqrunA	0.2572470009326935	0.389723151922226	0.4271491467952728	0.2108151614665985	0.3973820805549622	0.3767099976539612	0.3228550255298615	0.08423980325460434	0.3368388712406158	0.3549864292144775	0.2170762121677399	0.1939656287431717	0.2495916783809662	0.3711185455322266	0.3410473167896271	0.1250906735658646	0	0.2202851623296738	0.191248893737793	0.1855860352516174
S7_T1_y2016_seqrunA	0.2021129280328751	0.252528965473175	0.410821408033371	0.1688914746046066	0.214050754904747	0.2848627865314484	0.1277305632829666	0.1783492863178253	0.3720559775829315	0.2225764393806458	0.1240045428276062	0.09111588448286057	0.2232162654399872	0.232095792889595	0.1401087045669556	0.1603120565414429	0.2202851623296738	0	0.1019449383020401	0.05245719850063324
S8_T1_y2016_seqrunA	0.1921684890985489	0.2744252681732178	0.4020658135414124	0.1532252579927444	0.2658620178699493	0.269111305475235	0.1966164857149124	0.127052828669548	0.3527142703533173	0.2395443022251129	0.1214207485318184	0.05772911384701729	0.209842324256897	0.2469867765903473	0.2082011997699738	0.1331562697887421	0.191248893737793	0.1019449383020401	0	0.06492827087640762
S9_T1_y2016_seqrunA	0.1883537024259567	0.2574837505817413	0.4057174026966095	0.1632147431373596	0.243684858083725	0.2728239595890045	0.1626226007938385	0.1417313069105148	0.3564024567604065	0.2428350746631622	0.1129279807209969	0.06338197737932205	0.2134312689304352	0.2608899474143982	0.1744069904088974	0.1249344423413277	0.1855860352516174	0.05245719850063324	0.06492827087640762	0
