# Constructed from biom file
#OTU ID	F1_T3_y2016_seqrunA	F10_T3_y2016_seqrunA	F2_T3_y2016_seqrunA	F3_T3_y2016_seqrunA	F4_T3_y2016_seqrunA	F5_T3_y2016_seqrunA	F6_T3_y2016_seqrunA	F7_T3_y2016_seqrunA	F8_T3_y2016_seqrunA	F9_T3_y2016_seqrunA	S1_T3_y2016_seqrunA	S10_T3_y2016_seqrunA	S3_T3_y2016_seqrunA	S4_T3_y2016_seqrunA	S5_T3_y2016_seqrunA	S6_T3_y2016_seqrunA	S7_T3_y2016_seqrunA	S8_T3_y2016_seqrunA	S9_T3_y2016_seqrunA
3f2d6570271760698e4c90df1f84e31e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
66f2adffe7aabf778a19bf24c90eedb9	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0
5db695fc90738ea303caf1efebfdf158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8df7de55b08f24297b24b9bf6dbafae9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0
5bc6556b998a2b5c17ac8781084259b2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
49a7123db5cb688821fdf91ce276fd50	3.0	17.0	1.0	24.0	88.0	3.0	8.0	103.0	2.0	2.0	117.0	10.0	80.0	7.0	10.0	13.0	4.0	5.0	5.0
83ca03421887bedf349d3c35060e89d6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
28f89d5500221a8064d80f64293ba18a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b9bf361d53e9836bea8fc41f77e4093b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7dbc02dd0822af64b4a58a97d0d8a291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2e17e67a5f8510b4fa03e336aff49c00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
733b57a78c9a423d812b0d2d5696c9ee	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4d932d815d56742156520004feb15f3b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
64e8f05836c18dfda40f58fa92251885	9.0	47.0	16.0	0.0	0.0	0.0	22.0	1.0	23.0	3.0	0.0	5.0	21.0	0.0	7.0	3.0	30.0	18.0	2.0
ddf17270eb451f4ed2726d151bd7c296	0.0	3.0	3.0	0.0	0.0	0.0	3.0	1.0	5.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	19.0	1.0	0.0
3eaf4165eebc07a4278b3d624b40ebed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e3f9bc67cd666760637c8a2cbcb052cd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8b5652f32008811e2313fb5f608a5053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4a0fe6cabe62ceaa2fe309affaaba0d1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8938cc83b3b2b436a35b8b6d05360bfa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5fde5a7b5e65c315f107dc3e08d57b1d	22.0	31.0	1.0	105.0	1.0	4.0	15.0	4.0	2.0	2.0	1.0	5.0	28.0	10.0	27.0	19.0	46.0	59.0	9.0
972641bb5e9f37bb2780d1ce4be81b17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
940e3dae46e4983d987114e577329fe0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
37494cd427c2219f0dd772dd79f9b001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1d28af4474d2fda876c57084546ae228	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
